!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.06222e+00 5.75152e-01 1.06208e+00
1.22652e+00 6.83042e-01 1.25397e+00
1.18398e+00 6.55898e-01 1.19072e+00
9.44396e-01 5.16601e-01 9.62918e-01
1.09457e+00 5.95615e-01 1.09210e+00
8.53622e-01 4.45271e-01 8.68008e-01
1.16687e+00 6.37848e-01 1.17088e+00
1.03099e+00 5.47111e-01 1.03883e+00
8.97372e-01 4.53105e-01 9.03727e-01
9.98212e-01 5.43759e-01 1.01727e+00
8.34910e-01 4.19931e-01 8.41235e-01
1.19641e+00 6.69482e-01 1.21567e+00
1.05837e+00 5.59497e-01 1.07091e+00
1.18282e+00 6.40623e-01 1.19250e+00
1.40821e+00 7.95939e-01 1.41802e+00
1.18889e+00 6.57465e-01 1.20905e+00
9.81852e-01 5.32039e-01 1.00624e+00
1.18173e+00 6.67812e-01 1.21160e+00
1.23298e+00 6.81922e-01 1.23109e+00
8.19515e-01 4.19240e-01 8.46216e-01
1.30260e+00 7.33290e-01 1.29991e+00
1.17477e+00 6.49521e-01 1.16900e+00
7.53680e-01 3.77884e-01 7.97093e-01
8.58670e-01 4.45224e-01 8.72380e-01
1.56651e+00 9.11661e-01 1.57992e+00
1.06497e+00 5.63626e-01 1.08394e+00
1.00476e+00 5.33948e-01 1.01059e+00
1.09168e+00 5.92115e-01 1.11284e+00
1.41407e+00 8.04884e-01 1.42039e+00
1.30292e+00 7.28132e-01 1.31791e+00
1.17037e+00 6.42574e-01 1.17444e+00
8.93232e-01 4.61980e-01 9.03269e-01
1.42303e+00 8.19822e-01 1.41758e+00
1.00870e+00 5.28864e-01 1.02383e+00
9.31096e-01 4.92298e-01 9.50017e-01
1.24728e+00 6.95378e-01 1.24351e+00
1.09724e+00 5.91987e-01 1.10072e+00
9.08883e-01 4.65551e-01 9.16942e-01
5.64092e-01 2.28415e-01 5.66249e-01
8.53223e-01 4.17803e-01 8.60902e-01
7.88570e-01 3.93552e-01 8.03708e-01
1.25841e+00 6.89250e-01 1.25212e+00
1.24276e+00 6.95562e-01 1.24568e+00
1.15800e+00 6.34365e-01 1.16439e+00
1.42622e+00 8.09363e-01 1.43174e+00
1.07449e+00 5.68800e-01 1.09274e+00
1.41376e+00 8.00061e-01 1.40951e+00
1.15195e+00 6.32591e-01 1.16122e+00
1.14605e+00 6.24172e-01 1.16278e+00
1.10050e+00 6.06856e-01 1.11895e+00
1.09359e+00 5.96384e-01 1.10239e+00
1.18680e+00 6.63498e-01 1.19303e+00
1.17851e+00 6.44606e-01 1.18969e+00
9.54683e-01 4.94917e-01 9.79434e-01
8.78783e-01 4.59915e-01 9.06710e-01
1.56301e+00 9.09241e-01 1.58013e+00
1.30227e+00 7.38738e-01 1.30726e+00
1.24579e+00 6.80147e-01 1.25658e+00
1.49848e+00 8.50297e-01 1.49725e+00
1.23524e+00 7.02458e-01 1.25446e+00
1.17608e+00 6.54998e-01 1.21022e+00
1.13007e+00 6.14774e-01 1.14825e+00
1.23730e+00 6.89127e-01 1.25150e+00
7.75798e-01 4.13705e-01 7.99840e-01
1.02449e+00 5.60518e-01 1.03822e+00
1.07251e+00 5.78336e-01 1.07023e+00
9.69518e-01 5.11023e-01 9.89132e-01
1.32749e+00 7.44125e-01 1.34169e+00
1.01577e+00 5.47591e-01 1.02579e+00
1.19443e+00 6.61763e-01 1.21332e+00
1.12248e+00 6.11301e-01 1.13835e+00
1.26921e+00 6.96415e-01 1.27292e+00
1.11731e+00 6.18019e-01 1.13038e+00
1.14492e+00 6.36828e-01 1.15466e+00
1.28938e+00 7.10984e-01 1.29159e+00
9.49629e-01 4.93475e-01 9.70331e-01
1.20365e+00 6.56452e-01 1.21878e+00
1.17489e+00 6.57818e-01 1.19349e+00
1.15568e+00 6.37656e-01 1.17653e+00
1.16131e+00 6.30946e-01 1.16280e+00
1.17902e+00 6.56566e-01 1.19719e+00
9.39939e-01 4.92738e-01 9.55521e-01
8.78296e-01 4.61655e-01 9.05559e-01
1.04765e+00 5.62796e-01 1.06243e+00
1.04506e+00 5.68722e-01 1.06725e+00
1.02852e+00 5.53230e-01 1.04324e+00
9.49146e-01 5.10213e-01 9.51276e-01
1.01484e+00 5.42126e-01 1.03107e+00
1.41576e+00 8.02647e-01 1.41770e+00
1.04120e+00 5.59853e-01 1.05772e+00
