!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.11335e+00 5.99192e-01 1.09572e+00
1.05151e+00 5.58960e-01 1.03314e+00
1.19000e+00 6.51407e-01 1.16788e+00
1.16076e+00 6.32877e-01 1.13892e+00
1.21384e+00 6.67266e-01 1.19104e+00
1.26534e+00 7.04015e-01 1.24705e+00
1.04359e+00 5.52465e-01 1.02674e+00
1.27404e+00 7.09131e-01 1.25462e+00
1.06835e+00 5.67246e-01 1.04810e+00
1.24216e+00 6.82144e-01 1.21956e+00
1.00156e+00 5.24899e-01 9.89383e-01
1.14304e+00 6.21427e-01 1.12527e+00
1.19898e+00 6.60269e-01 1.17996e+00
1.11320e+00 6.02903e-01 1.09700e+00
1.04181e+00 5.52382e-01 1.02700e+00
1.11003e+00 5.99459e-01 1.09661e+00
1.20218e+00 6.63746e-01 1.18423e+00
1.12897e+00 6.15611e-01 1.11184e+00
1.23570e+00 6.88911e-01 1.21998e+00
1.14225e+00 6.18684e-01 1.12579e+00
1.05253e+00 5.63428e-01 1.04109e+00
1.13466e+00 6.17743e-01 1.11925e+00
1.23298e+00 6.84164e-01 1.21342e+00
1.12509e+00 6.06517e-01 1.10788e+00
1.19060e+00 6.51408e-01 1.17145e+00
1.21594e+00 6.69575e-01 1.19805e+00
1.15299e+00 6.29955e-01 1.13635e+00
1.10472e+00 6.00720e-01 1.09189e+00
1.15150e+00 6.25764e-01 1.13286e+00
1.05644e+00 5.64083e-01 1.04110e+00
1.11894e+00 6.05756e-01 1.10223e+00
1.19054e+00 6.53892e-01 1.16868e+00
1.27420e+00 7.12692e-01 1.25585e+00
1.07336e+00 5.75625e-01 1.05933e+00
1.29130e+00 7.24471e-01 1.27395e+00
1.17680e+00 6.43251e-01 1.15899e+00
1.10099e+00 5.93065e-01 1.08853e+00
1.13259e+00 6.16147e-01 1.11759e+00
1.21122e+00 6.65845e-01 1.19220e+00
1.24651e+00 6.89102e-01 1.22720e+00
1.19486e+00 6.54364e-01 1.17296e+00
1.18570e+00 6.49640e-01 1.16664e+00
1.22362e+00 6.72753e-01 1.20218e+00
1.09737e+00 5.89952e-01 1.07833e+00
1.08532e+00 5.81438e-01 1.06984e+00
1.25903e+00 6.98771e-01 1.24056e+00
1.05797e+00 5.59647e-01 1.03973e+00
1.17119e+00 6.37866e-01 1.15219e+00
1.17692e+00 6.45332e-01 1.15746e+00
1.10305e+00 5.94246e-01 1.08982e+00
1.24179e+00 6.91165e-01 1.22087e+00
1.06967e+00 5.72639e-01 1.05714e+00
1.23488e+00 6.86362e-01 1.21394e+00
1.17917e+00 6.43167e-01 1.16429e+00
1.24897e+00 6.93164e-01 1.22623e+00
1.06949e+00 5.73785e-01 1.05733e+00
1.23013e+00 6.74873e-01 1.20714e+00
1.19334e+00 6.53222e-01 1.17379e+00
1.06681e+00 5.66480e-01 1.04762e+00
1.15102e+00 6.25083e-01 1.12863e+00
1.09785e+00 5.90016e-01 1.07966e+00
1.19644e+00 6.58892e-01 1.17776e+00
1.12816e+00 6.11488e-01 1.11129e+00
1.08512e+00 5.82210e-01 1.07128e+00
1.38535e+00 7.85537e-01 1.36221e+00
1.06762e+00 5.73429e-01 1.05104e+00
1.19199e+00 6.53857e-01 1.17544e+00
1.17500e+00 6.41435e-01 1.15769e+00
1.11764e+00 6.01580e-01 1.09595e+00
1.17368e+00 6.43550e-01 1.15902e+00
1.15566e+00 6.30701e-01 1.14105e+00
1.10233e+00 5.98133e-01 1.08728e+00
1.20629e+00 6.65372e-01 1.18784e+00
1.14906e+00 6.25839e-01 1.13163e+00
1.21714e+00 6.72780e-01 1.20156e+00
1.13282e+00 6.15271e-01 1.11551e+00
1.19028e+00 6.55514e-01 1.17175e+00
1.10766e+00 5.98423e-01 1.08974e+00
1.19846e+00 6.61359e-01 1.17941e+00
1.09632e+00 5.84218e-01 1.07706e+00
1.03870e+00 5.44848e-01 1.01955e+00
1.18847e+00 6.54213e-01 1.17382e+00
1.19096e+00 6.51078e-01 1.17418e+00
1.14179e+00 6.19350e-01 1.12063e+00
1.17664e+00 6.45207e-01 1.15723e+00
1.08857e+00 5.85837e-01 1.07416e+00
1.15949e+00 6.33702e-01 1.13756e+00
1.11535e+00 6.01119e-01 1.09436e+00
1.18796e+00 6.49799e-01 1.16461e+00
1.22247e+00 6.77150e-01 1.20413e+00
1.08607e+00 5.78664e-01 1.06949e+00
1.17738e+00 6.44956e-01 1.15655e+00
1.13847e+00 6.13582e-01 1.11523e+00
1.19881e+00 6.58602e-01 1.17889e+00
1.14102e+00 6.23439e-01 1.12566e+00
1.17926e+00 6.48514e-01 1.16374e+00
1.23520e+00 6.85127e-01 1.20885e+00
1.14182e+00 6.21138e-01 1.12067e+00
1.23528e+00 6.86492e-01 1.21482e+00
1.18741e+00 6.50890e-01 1.16876e+00
1.22365e+00 6.76856e-01 1.20550e+00
1.09978e+00 5.86757e-01 1.08241e+00
1.21205e+00 6.67075e-01 1.19384e+00
1.21548e+00 6.67923e-01 1.19702e+00
1.08901e+00 5.89425e-01 1.07529e+00
1.01596e+00 5.33103e-01 9.99600e-01
1.15754e+00 6.31469e-01 1.13959e+00
1.13500e+00 6.12402e-01 1.11473e+00
1.06399e+00 5.65281e-01 1.04876e+00
1.17533e+00 6.49094e-01 1.15715e+00
1.18292e+00 6.46718e-01 1.16106e+00
1.12433e+00 6.07405e-01 1.10556e+00
1.21439e+00 6.67719e-01 1.19506e+00
1.25103e+00 6.94309e-01 1.22722e+00
1.22280e+00 6.74783e-01 1.20463e+00
1.12780e+00 6.08555e-01 1.10907e+00
1.19230e+00 6.54876e-01 1.17619e+00
9.75464e-01 5.08359e-01 9.63668e-01
1.13084e+00 6.10935e-01 1.10850e+00
1.11525e+00 6.03803e-01 1.09532e+00
1.07678e+00 5.73572e-01 1.06115e+00
1.21010e+00 6.66644e-01 1.18560e+00
1.14830e+00 6.26778e-01 1.13405e+00
1.05299e+00 5.60602e-01 1.03756e+00
1.16593e+00 6.36473e-01 1.15152e+00
1.17547e+00 6.44831e-01 1.15997e+00
1.14555e+00 6.22305e-01 1.12595e+00
1.20483e+00 6.61679e-01 1.18637e+00
1.22357e+00 6.73656e-01 1.20391e+00
1.10628e+00 5.97542e-01 1.09313e+00
1.13145e+00 6.14150e-01 1.11568e+00
1.13335e+00 6.16859e-01 1.11902e+00
1.18844e+00 6.53408e-01 1.17121e+00
1.22986e+00 6.76588e-01 1.20841e+00
1.22255e+00 6.78056e-01 1.20156e+00
1.08508e+00 5.79657e-01 1.07190e+00
1.17983e+00 6.44947e-01 1.15947e+00
1.14521e+00 6.22092e-01 1.12614e+00
1.15200e+00 6.30127e-01 1.13772e+00
1.23441e+00 6.83451e-01 1.21243e+00
1.06206e+00 5.67495e-01 1.04742e+00
1.01567e+00 5.34473e-01 1.00301e+00
1.12904e+00 6.12833e-01 1.11037e+00
1.18958e+00 6.50526e-01 1.16788e+00
1.21698e+00 6.71184e-01 1.19327e+00
1.17618e+00 6.42499e-01 1.15850e+00
1.22788e+00 6.77461e-01 1.20661e+00
1.19691e+00 6.55889e-01 1.17763e+00
1.15425e+00 6.29188e-01 1.13805e+00
1.07896e+00 5.78618e-01 1.06482e+00
1.22810e+00 6.81447e-01 1.20851e+00
1.12163e+00 6.03113e-01 1.10688e+00
1.08337e+00 5.80519e-01 1.06678e+00
1.06933e+00 5.71476e-01 1.05382e+00
1.13777e+00 6.14603e-01 1.11780e+00
1.18586e+00 6.54340e-01 1.16881e+00
1.29977e+00 7.29594e-01 1.28063e+00
1.12456e+00 6.06695e-01 1.10676e+00
1.06130e+00 5.66083e-01 1.04811e+00
1.22716e+00 6.78167e-01 1.20682e+00
1.07218e+00 5.75651e-01 1.06318e+00
1.09614e+00 5.90915e-01 1.08080e+00
1.16238e+00 6.35960e-01 1.14347e+00
1.15766e+00 6.31780e-01 1.14226e+00
1.09565e+00 5.86243e-01 1.08126e+00
1.20740e+00 6.66728e-01 1.19300e+00
1.06986e+00 5.65530e-01 1.05376e+00
1.15658e+00 6.31298e-01 1.13628e+00
1.19712e+00 6.57959e-01 1.18118e+00
1.14460e+00 6.21973e-01 1.12703e+00
1.21642e+00 6.72568e-01 1.19628e+00
1.13111e+00 6.11576e-01 1.10939e+00
1.11651e+00 6.02886e-01 1.10197e+00
1.14840e+00 6.25193e-01 1.12863e+00
1.05764e+00 5.63890e-01 1.04466e+00
1.18792e+00 6.52163e-01 1.16890e+00
1.13588e+00 6.13291e-01 1.11859e+00
1.21100e+00 6.66767e-01 1.18809e+00
1.17336e+00 6.42523e-01 1.15420e+00
1.20472e+00 6.64250e-01 1.18690e+00
1.26852e+00 7.06962e-01 1.24619e+00
1.07793e+00 5.77294e-01 1.05817e+00
1.25235e+00 6.98987e-01 1.23178e+00
1.07917e+00 5.80476e-01 1.06703e+00
1.14692e+00 6.23358e-01 1.12965e+00
1.14325e+00 6.24360e-01 1.12893e+00
1.01857e+00 5.41971e-01 1.00727e+00
1.17176e+00 6.40801e-01 1.15400e+00
1.10490e+00 5.98126e-01 1.08852e+00
1.17620e+00 6.42391e-01 1.15264e+00
1.23193e+00 6.84444e-01 1.21051e+00
1.14764e+00 6.26755e-01 1.13167e+00
1.25560e+00 7.01141e-01 1.24086e+00
1.29350e+00 7.26281e-01 1.27438e+00
1.06904e+00 5.68891e-01 1.05473e+00
1.20702e+00 6.62827e-01 1.18438e+00
1.12410e+00 6.06968e-01 1.10463e+00
1.15162e+00 6.28408e-01 1.13385e+00
1.12036e+00 6.06576e-01 1.10218e+00
1.17971e+00 6.44242e-01 1.16018e+00
1.27877e+00 7.18718e-01 1.25733e+00
1.16819e+00 6.37484e-01 1.15153e+00
1.20288e+00 6.61067e-01 1.18295e+00
1.15499e+00 6.30141e-01 1.13874e+00
1.17633e+00 6.39367e-01 1.15556e+00
1.24440e+00 6.87474e-01 1.22201e+00
1.13875e+00 6.19153e-01 1.11921e+00
1.05431e+00 5.62280e-01 1.04523e+00
1.20383e+00 6.58470e-01 1.18388e+00
1.06184e+00 5.67944e-01 1.04981e+00
1.17058e+00 6.36755e-01 1.15241e+00
1.07811e+00 5.78301e-01 1.06495e+00
1.07948e+00 5.77668e-01 1.06335e+00
1.13495e+00 6.16413e-01 1.11564e+00
1.18081e+00 6.44194e-01 1.16704e+00
1.12199e+00 6.11080e-01 1.10757e+00
1.20433e+00 6.63271e-01 1.18614e+00
1.13642e+00 6.19240e-01 1.11854e+00
1.11247e+00 6.01045e-01 1.09944e+00
1.12178e+00 6.08350e-01 1.10297e+00
1.13925e+00 6.16812e-01 1.11738e+00
1.19477e+00 6.55901e-01 1.17730e+00
1.30333e+00 7.34116e-01 1.28380e+00
1.18989e+00 6.46200e-01 1.16696e+00
1.30345e+00 7.33200e-01 1.28284e+00
1.16412e+00 6.35595e-01 1.14676e+00
1.08474e+00 5.81945e-01 1.06543e+00
1.23827e+00 6.85899e-01 1.21880e+00
1.21829e+00 6.75252e-01 1.19895e+00
1.23598e+00 6.83466e-01 1.21935e+00
1.14109e+00 6.19714e-01 1.12237e+00
1.27894e+00 7.13517e-01 1.25951e+00
1.08163e+00 5.79018e-01 1.06358e+00
1.25409e+00 6.98392e-01 1.23631e+00
1.09434e+00 5.88985e-01 1.08036e+00
1.13269e+00 6.13980e-01 1.11727e+00
1.28141e+00 7.18552e-01 1.26202e+00
1.09503e+00 5.86974e-01 1.07563e+00
1.15081e+00 6.23550e-01 1.12793e+00
1.09945e+00 5.91049e-01 1.08726e+00
1.09405e+00 5.83550e-01 1.07274e+00
1.27250e+00 7.10895e-01 1.25311e+00
1.15588e+00 6.30665e-01 1.13681e+00
1.05073e+00 5.55695e-01 1.03511e+00
1.11495e+00 6.00759e-01 1.09906e+00
1.22508e+00 6.78596e-01 1.20527e+00
1.19812e+00 6.59628e-01 1.18039e+00
1.10831e+00 5.97364e-01 1.09084e+00
1.13352e+00 6.15352e-01 1.11513e+00
1.16440e+00 6.41398e-01 1.14607e+00
1.15899e+00 6.35248e-01 1.14432e+00
1.05828e+00 5.61976e-01 1.04067e+00
1.09897e+00 5.91584e-01 1.08108e+00
1.20135e+00 6.62078e-01 1.18313e+00
1.22024e+00 6.73627e-01 1.20271e+00
1.06890e+00 5.71713e-01 1.05718e+00
1.16771e+00 6.43282e-01 1.14986e+00
1.31292e+00 7.40568e-01 1.29192e+00
1.09756e+00 5.88736e-01 1.08205e+00
1.28070e+00 7.18014e-01 1.25830e+00
1.19736e+00 6.57188e-01 1.17988e+00
1.17959e+00 6.43746e-01 1.16347e+00
1.20956e+00 6.68174e-01 1.19122e+00
1.16036e+00 6.30959e-01 1.13945e+00
1.16911e+00 6.41480e-01 1.15852e+00
1.11408e+00 5.98966e-01 1.09629e+00
1.14194e+00 6.18313e-01 1.12461e+00
1.11763e+00 6.02892e-01 1.09593e+00
1.10282e+00 5.92127e-01 1.08638e+00
1.13668e+00 6.13942e-01 1.12052e+00
1.21506e+00 6.71701e-01 1.19439e+00
1.12622e+00 6.06987e-01 1.10847e+00
1.00971e+00 5.27042e-01 9.91797e-01
1.06423e+00 5.65721e-01 1.04862e+00
1.21977e+00 6.76050e-01 1.20639e+00
1.22658e+00 6.76483e-01 1.20705e+00
1.17386e+00 6.42299e-01 1.15627e+00
1.05790e+00 5.66386e-01 1.04723e+00
1.09034e+00 5.84786e-01 1.07429e+00
1.31802e+00 7.43664e-01 1.29558e+00
1.21514e+00 6.66984e-01 1.19347e+00
1.16654e+00 6.38593e-01 1.15058e+00
1.23944e+00 6.88786e-01 1.22289e+00
1.11073e+00 5.98814e-01 1.09875e+00
1.11741e+00 6.06631e-01 1.09849e+00
1.11302e+00 6.03603e-01 1.09881e+00
1.12667e+00 6.09996e-01 1.10807e+00
1.18073e+00 6.47681e-01 1.16297e+00
1.15696e+00 6.32244e-01 1.13340e+00
1.13682e+00 6.16845e-01 1.11780e+00
1.19677e+00 6.56846e-01 1.17119e+00
1.19099e+00 6.52977e-01 1.17269e+00
1.08802e+00 5.86139e-01 1.07584e+00
1.17339e+00 6.42778e-01 1.15449e+00
1.22353e+00 6.74171e-01 1.20313e+00
1.19579e+00 6.60036e-01 1.18224e+00
1.12736e+00 6.10098e-01 1.10711e+00
1.15053e+00 6.19036e-01 1.12840e+00
1.26097e+00 7.01199e-01 1.23796e+00
1.25241e+00 6.90042e-01 1.23028e+00
1.16386e+00 6.33012e-01 1.14482e+00
1.22406e+00 6.77059e-01 1.20174e+00
1.21726e+00 6.74336e-01 1.19868e+00
1.11304e+00 6.03658e-01 1.09637e+00
1.09052e+00 5.84250e-01 1.07929e+00
1.09316e+00 5.85944e-01 1.07877e+00
1.13761e+00 6.12454e-01 1.11938e+00
1.15483e+00 6.26990e-01 1.13468e+00
1.27399e+00 7.07917e-01 1.25025e+00
1.21126e+00 6.70683e-01 1.19199e+00
1.08192e+00 5.79989e-01 1.06422e+00
1.22320e+00 6.78814e-01 1.20544e+00
1.08240e+00 5.78254e-01 1.06278e+00
1.22153e+00 6.77001e-01 1.20718e+00
1.19496e+00 6.58977e-01 1.17487e+00
1.23773e+00 6.87526e-01 1.21206e+00
1.13572e+00 6.19625e-01 1.11775e+00
1.21946e+00 6.72412e-01 1.20108e+00
1.08426e+00 5.84841e-01 1.07358e+00
1.14846e+00 6.25168e-01 1.13593e+00
1.19269e+00 6.55757e-01 1.17761e+00
1.05162e+00 5.57104e-01 1.03563e+00
1.07714e+00 5.74137e-01 1.06091e+00
1.40508e+00 7.99218e-01 1.37990e+00
1.23274e+00 6.82018e-01 1.21269e+00
1.16489e+00 6.36630e-01 1.14526e+00
1.23747e+00 6.86776e-01 1.21668e+00
1.25200e+00 6.98172e-01 1.23347e+00
1.23415e+00 6.83271e-01 1.21944e+00
1.20806e+00 6.68005e-01 1.18790e+00
1.17757e+00 6.45096e-01 1.16271e+00
1.14572e+00 6.18999e-01 1.12694e+00
1.19676e+00 6.62366e-01 1.18170e+00
1.28489e+00 7.17163e-01 1.25950e+00
1.12766e+00 6.08929e-01 1.11166e+00
1.15221e+00 6.30283e-01 1.13578e+00
1.21414e+00 6.73025e-01 1.19430e+00
1.18812e+00 6.52597e-01 1.17258e+00
1.20556e+00 6.60627e-01 1.18275e+00
1.11484e+00 6.00149e-01 1.09606e+00
1.12714e+00 6.09046e-01 1.10926e+00
1.17277e+00 6.45299e-01 1.15760e+00
1.15693e+00 6.30247e-01 1.14137e+00
1.23805e+00 6.83644e-01 1.21523e+00
1.15593e+00 6.34425e-01 1.13920e+00
1.25103e+00 6.92009e-01 1.23012e+00
1.18589e+00 6.55123e-01 1.16654e+00
1.10395e+00 5.92349e-01 1.08963e+00
1.15713e+00 6.27493e-01 1.13828e+00
1.16168e+00 6.34411e-01 1.14582e+00
1.20833e+00 6.68259e-01 1.19060e+00
1.23420e+00 6.84691e-01 1.21472e+00
1.10384e+00 5.91106e-01 1.08533e+00
1.23090e+00 6.83370e-01 1.20677e+00
1.26123e+00 7.05065e-01 1.24214e+00
1.15003e+00 6.28265e-01 1.13224e+00
1.30200e+00 7.31545e-01 1.28460e+00
1.14409e+00 6.20934e-01 1.12819e+00
1.22485e+00 6.74595e-01 1.20077e+00
1.05145e+00 5.52217e-01 1.03925e+00
1.19821e+00 6.56983e-01 1.17605e+00
1.16650e+00 6.37117e-01 1.15016e+00
1.20454e+00 6.63029e-01 1.18512e+00
