1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
514,45.6152,11.8904,0.118707
517,14.4651,-38.6531,0.418616
518,14.4651,-38.6531,0.418616
520,41.7873,-31.3599,0.103484
521,41.7873,-31.3599,0.103484
522,39.6469,-36.0754,0.111597
525,39.6469,-36.0754,0.111597
526,41.7873,-31.3599,0.103484
528,-0.941932,154.337,0.940679
529,14.4651,-38.6531,0.418616
530,4.9519,-150.578,0.361311
531,36.6203,-0.841081,0.534597
532,69.312,138.321,0.233234
533,-8.31631,-41.0539,0.503765
534,52.856,72.6026,0.371615
538,29.4,-27.5,0.22
539,29.4,-27.5,0.22
540,41.7873,-31.3599,0.103484
542,36.6203,-0.841081,0.534597
543,36.6203,-0.841081,0.534597
544,36.6203,-0.841081,0.534597
545,29.4,-27.5,0.22
550,18.5312,31.8737,0.701502
551,41.7873,-31.3599,0.103484
554,14.4651,-38.6531,0.418616
555,29.4,-27.5,0.22
556,36.6203,-0.841081,0.534597
563,41.7873,-31.3599,0.103484
564,-11.1779,-41.794,4.78905
565,-6.00817,-35.0465,1.01902
566,1.14973,94.9756,1.99974
567,-11.2531,-41.485,4.59391
580,41.7873,-31.3599,0.103484
590,41.7873,-31.3599,0.103484
591,41.7873,-31.3599,0.103484
601,41.7873,-31.3599,0.103484
602,41.7873,-31.3599,0.103484
603,43.5692,-27.65,0.0905731
604,56.7978,16.7947,0.102253
605,38.543,33.6169,0.869515
606,15.8083,-38.7915,0.331405
607,13.0511,2.97154,0.52149
608,-28.8242,-35.6009,1.67593
609,-28.8242,-35.6009,1.67593
610,-28.8242,-35.6009,1.67593
611,-28.8242,-35.6009,1.67593
612,41.7873,-31.3599,0.103484
613,41.7873,-31.3599,0.103484
614,0.181944,105.306,3.27851
615,17.8037,30.5389,0.70048
616,41.7873,-31.3599,0.103484
617,41.7873,-31.3599,0.103484
619,41.7873,-31.3599,0.103484
621,41.7873,-31.3599,0.103484
622,41.7873,-31.3599,0.103484
623,41.7873,-31.3599,0.103484
624,41.7873,-31.3599,0.103484
625,41.7873,-31.3599,0.103484
626,41.7873,-31.3599,0.103484
627,41.7873,-31.3599,0.103484
628,41.7873,-31.3599,0.103484
629,41.7873,-31.3599,0.103484
630,41.7873,-31.3599,0.103484
631,41.7873,-31.3599,0.103484
636,41.7873,-31.3599,0.103484
641,41.7873,-31.3599,0.103484
645,0.181944,105.306,3.27851
646,0.799084,103.701,2.65645
647,41.9784,-31.0109,0.103147
648,41.7873,-31.3599,0.103484
649,41.7873,-31.3599,0.103484
651,-3.9508,102.269,2.14558
652,41.9784,-31.0109,0.103147
653,-67.4003,99.1071,0.650464
654,-67.4003,99.1071,0.650464
655,-67.4003,99.1071,0.650464
657,-3.9508,102.269,2.14558
658,41.7873,-31.3599,0.103484
659,-28.8242,-35.6009,1.67593
660,41.7873,-31.3599,0.103484
662,41.7873,-31.3599,0.103484
663,41.7873,-31.3599,0.103484
664,39.946,-41.2178,0.120064
665,0.181944,105.306,3.27851
667,-29.8325,11.0177,0.464775
668,0.181944,105.306,3.27851
669,2.27894,96.1061,2.13871
670,-7.37799,-1.58359,0.918933
673,41.9784,-31.0109,0.103147
674,-11.1779,-41.794,4.78905
675,17.8037,30.5389,0.70048
676,41.9784,-31.0109,0.103147
677,41.7873,-31.3599,0.103484
678,-11.1779,-41.794,4.78905
679,-11.2531,-41.485,4.59391
680,-11.2531,-41.485,4.59391
681,17.8037,30.5389,0.70048
683,41.9784,-31.0109,0.103147
684,17.8037,30.5389,0.70048
686,5.40111,-45.3611,0.241553
687,-1.3427,-39.5635,0.286099
688,-67.4003,99.1071,0.650464
689,-67.4003,99.1071,0.650464
690,-67.4003,99.1071,0.650464
691,10.1159,125.945,1.20633
692,-67.4003,99.1071,0.650464
693,-60.4433,83.9659,0.579321
697,-68.7479,32.3422,0.52114
698,17.8037,30.5389,0.70048
699,-28.8242,-35.6009,1.67593
701,29.4,-27.5,0.22
702,29.4,-27.5,0.22
704,29.4,-27.5,0.22
706,29.4,-27.5,0.22
707,41.048,-32.7096,0.103839
708,41.048,-32.7096,0.103839
709,39.6123,-38.1266,0.233578
710,22.377,27.4949,0.822483
712,29.4,-27.5,0.22
713,29.4,-27.5,0.22
714,29.4,-27.5,0.22
