1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
7249,41.7873,-31.3599,0.103484
7250,13.0511,2.97154,0.52149
7251,13.0511,2.97154,0.52149
7252,41.7873,-31.3599,0.103484
7253,41.7873,-31.3599,0.103484
7254,41.7873,-31.3599,0.103484
7255,41.7873,-31.3599,0.103484
7256,41.7873,-31.3599,0.103484
7257,13.0511,2.97154,0.52149
7258,13.0511,2.97154,0.52149
7259,13.0511,2.97154,0.52149
7260,3.90197,-6.5776,0.212804
7261,37.3949,66.0876,2.4389
7262,29.9504,-20.6583,0.106591
7263,-24.0416,-71.6857,0.282401
7264,13.0511,2.97154,0.52149
7265,41.7873,-31.3599,0.103484
7266,37.4845,-26.8159,0.102806
7269,-17.8079,-80.2824,0.927663
7270,33.2724,85.83,0.656819
7271,-8.54112,125.894,2.15451
7701,29.4,-27.5,0.22
8151,32.6555,5.04512,0.110889
8171,32.6555,5.04512,0.110889
8181,32.6555,5.04512,0.110889
8182,32.6555,5.04512,0.110889
8183,32.6555,5.04512,0.110889
8184,33.0252,-12.727,0.200004
8185,30.935,-6.47622,0.255396
8186,33.0252,-12.727,0.200004
8191,10.5159,130.236,0.120379
8192,54.3757,117.369,0.0903446
8201,32.6555,5.04512,0.110889
8330,17.8037,30.5389,0.70048
8331,17.8037,30.5389,0.70048
8333,17.8037,30.5389,0.70048
8334,17.8037,30.5389,0.70048
8335,17.8037,30.5389,0.70048
8680,17.8037,30.5389,0.70048
8690,17.8037,30.5389,0.70048
8691,17.8037,30.5389,0.70048
8824,-30.7315,173.255,2.54648
8847,-69.3951,85.1206,0.784902
8853,17.8037,30.5389,0.70048
8858,17.8037,30.5389,0.70048
8859,17.8037,30.5389,0.70048
8860,17.8037,30.5389,0.70048
8861,17.8037,30.5389,0.70048
8862,17.8037,30.5389,0.70048
8863,17.8037,30.5389,0.70048
9000,-21.74,110.5,0.44964
9021,-41.6836,-41.5712,0.227175
9862,17.8037,30.5389,0.70048
9922,17.8037,30.5389,0.70048
9923,17.8037,30.5389,0.70048
16101,-41.6836,-41.5712,0.227175
16102,-41.6836,-41.5712,0.227175
16103,-41.6836,-41.5712,0.227175
16104,-41.6836,-41.5712,0.227175
16105,-41.6836,-41.5712,0.227175
16106,-41.6836,-41.5712,0.227175
16107,-41.6836,-41.5712,0.227175
16110,-41.6836,-41.5712,0.227175
16111,-41.6836,-41.5712,0.227175
16112,-41.6836,-41.5712,0.227175
16113,-41.6836,-41.5712,0.227175
16121,-41.6836,-41.5712,0.227175
16122,-41.6836,-41.5712,0.227175
16123,-41.6836,-41.5712,0.227175
16124,-41.6836,-41.5712,0.227175
16130,-41.6836,-41.5712,0.227175
16140,-41.6836,-41.5712,0.227175
16141,-41.6836,-41.5712,0.227175
16150,-41.6836,-41.5712,0.227175
16151,-41.6836,-41.5712,0.227175
16152,79.4257,-96.8533,0.571479
18100,-41.6836,-41.5712,0.227175
18102,-41.6836,-41.5712,0.227175
18103,-41.6836,-41.5712,0.227175
18104,-41.6836,-41.5712,0.227175
18105,-41.6836,-41.5712,0.227175
18106,-41.6836,-41.5712,0.227175
18107,-41.6836,-41.5712,0.227175
18108,-41.6836,-41.5712,0.227175
18150,-41.6836,-41.5712,0.227175
18200,-41.6836,-41.5712,0.227175
18202,-41.6836,-41.5712,0.227175
18203,-41.6836,-41.5712,0.227175
20041,-41.6836,-41.5712,0.227175
28011,-79.2281,17.8071,0.197523
28800,-79.2281,17.8071,0.197523
28900,-79.2281,17.8071,0.197523
29800,-79.2281,17.8071,0.197523
41200,41.7873,-31.3599,0.103484
42100,-41.6836,-41.5712,0.227175
42101,-41.6836,-41.5712,0.227175
42102,-41.6836,-41.5712,0.227175
42103,-41.6836,-41.5712,0.227175
42150,-41.6836,-41.5712,0.227175
42200,-41.6836,-41.5712,0.227175
42201,-41.6836,-41.5712,0.227175
42300,-41.6836,-41.5712,0.227175
42400,41.7873,-31.3599,0.103484
43101,41.7873,-31.3599,0.103484
43102,41.7873,-31.3599,0.103484
43200,-41.6836,-41.5712,0.227175
43201,-41.6836,-41.5712,0.227175
43202,-41.6836,-41.5712,0.227175
43203,-41.6836,-41.5712,0.227175
43204,-41.6836,-41.5712,0.227175
43205,-41.6836,-41.5712,0.227175
43206,-41.6836,-41.5712,0.227175
43207,-41.6836,-41.5712,0.227175
43300,-41.6836,-41.5712,0.227175
43301,-41.6836,-41.5712,0.227175
43400,41.7873,-31.3599,0.103484
44100,67.7434,166.401,1.03127
44101,-41.6836,-41.5712,0.227175
44102,-41.6836,-41.5712,0.227175
44103,-41.6836,-41.5712,0.227175
50501,41.7873,-31.3599,0.103484
50601,41.7873,-31.3599,0.103484
50602,41.7873,-31.3599,0.103484
53001,4.9519,-150.578,0.361311
53401,52.856,72.6026,0.371615
60201,41.7873,-31.3599,0.103484
60301,43.5692,-27.65,0.0905731
60302,43.5692,-27.65,0.0905731
60401,56.7978,16.7947,0.102253
60402,56.7978,16.7947,0.102253
60403,56.7978,16.7947,0.102253
60404,56.7978,16.7947,0.102253
60405,56.7978,16.7947,0.102253
60406,56.7978,16.7947,0.102253
60601,15.8083,-38.7915,0.331405
61401,0.181944,105.306,3.27851
61403,0.181944,105.306,3.27851
61404,41.7873,-31.3599,0.103484
61405,0.181944,105.306,3.27851
61406,-0.654916,102.854,2.71661
61407,-3.4331,97.0292,1.92556
61411,0.181944,105.306,3.27851
61412,0.181944,105.306,3.27851
61413,0.181944,105.306,3.27851
61501,17.8037,30.5389,0.70048
61502,17.8037,30.5389,0.70048
61601,41.7873,-31.3599,0.103484
61602,15.8083,-38.7915,0.331405
64701,41.9784,-31.0109,0.103147
65702,-3.9508,102.269,2.14558
67301,41.9784,-31.0109,0.103147
67302,41.9784,-31.0109,0.103147
67303,10.7013,96.9363,0.437142
67304,5.66628,100.949,0.896502
67305,5.40662,101.175,0.941501
67306,4.55475,101.816,1.10507
67307,3.88914,102.366,1.26341
67308,3.24308,102.961,1.46567
67309,2.3855,103.656,1.79486
67310,1.76551,103.958,2.08526
67311,1.25931,104.254,2.44519
67312,0.985908,104.426,2.67474
67313,0.835638,104.493,2.8045
67314,0.794619,104.561,2.85836
67315,0.478348,104.918,3.06691
67316,0.259723,105.184,3.21504
67317,0.181944,105.306,3.27851
67350,41.9784,-31.0109,0.103147
67351,5.40111,-45.3611,0.241553
67352,41.9784,-31.0109,0.103147
68601,5.40111,-45.3611,0.241553
69701,-69.9194,91.0342,0.588338
69702,-37.1052,-18.1073,0.872729
70822,41.048,-32.7096,0.103839
70833,41.048,-32.7096,0.103839
70844,41.048,-32.7096,0.103839
602201,-28.3814,-34.9566,1.67852
602202,-28.3824,-34.958,1.67854
